Time - Voltage	Amplitude - Voltage	
7	31.3	-2.424
7	31.3	-2.529
7	31.3	-1.987
7	31.3	-2.581
7	31.3	-2.244
7	31.3	-2.451
7	31.4	-2.544
7	31.4	-1.863
7	31.4	-1.941
7	31.4	-2.764
7	31.4	-2.834
7	31.4	-1.912
7	31.4	-2.129
7	31.4	-2.349
7	31.4	-3.364
7	31.4	-2.869
7	31.4	-2.407
7	31.5	-2.29
7	31.5	-2.566
7	31.5	-2.695
7	31.5	-2.834
7	31.5	-2.373
7	31.5	-2.034
7	31.5	-2.7
7	31.5	-2.944
7	31.5	-3.271
7	31.5	-2.432
7	31.5	-2.366
7	31.6	-3.059
7	31.6	-3.003
7	31.6	-3.181
7	31.6	-3.425
7	31.6	-3.052
7	31.6	-3.401
7	31.6	-3.767
7	31.6	-3.794
7	31.6	-3.479
7	31.6	-3.374
7	31.6	-4.009
7	31.7	-4.404
7	31.7	-3.76
7	31.7	-3.223
7	31.7	-3.87
7	31.7	-4.299
7	31.7	-4.429
7	31.7	-3.975
7	31.7	-3.801
7	31.7	-4.209
7	31.7	-4.524
7	31.8	-4.509
7	31.8	-4.407
7	31.8	-4.177
7	31.8	-4.312
7	31.8	-4.541
7	31.8	-4.536
7	31.8	-4.265
7	31.8	-4.402
7	31.8	-4.565
7	31.8	-4.59
7	31.8	-4.592
7	31.9	-4.585
7	31.9	-4.595
7	31.9	-4.548
7	31.9	-4.592
7	31.9	-4.507
7	31.9	-4.417
7	31.9	-4.595
7	31.9	-4.509
7	31.9	-3.997
7	31.9	-4.055
7	31.9	-4.414
7	32	-4.36
7	32	-4.006
7	32	-3.855
7	32	-4.175
7	32	-4.353
7	32	-4.009
7	32	-4.148
7	32	-4.058
7	32	-3.755
7	32	-3.501
7	32	-3.853
7	32.1	-3.662
7	32.1	-3.391
7	32.1	-3.352
7	32.1	-3.723
7	32.1	-3.867
7	32.1	-2.927
7	32.1	-3.03
7	32.1	-2.935
7	32.1	-3.616
7	32.1	-3.464
7	32.1	-2.898
7	32.2	-2.537
7	32.2	-3.032
7	32.2	-3.306
7	32.2	-3.406
7	32.2	-3.071
7	32.2	-2.847
7	32.2	-3.413
7	32.2	-3.232
7	32.2	-3.252
7	32.2	-2.581
7	32.2	-2.7
7	32.3	-2.798
7	32.3	-2.776
7	32.3	-2.622
7	32.3	-2.344
7	32.3	-2.195
7	32.3	-2.871
7	32.3	-3.464
7	32.3	-2.559
7	32.3	-2.173
7	32.3	-2.483
7	32.3	-3.152
7	32.4	-3.054
7	32.4	-2.483
7	32.4	-1.523
7	32.4	-2.002
7	32.4	-2.468
7	32.4	-1.975
7	32.4	-1.467
7	32.4	-1.409
7	32.4	-1.453
7	32.4	-1.741
7	32.4	-1.763
7	32.5	-1.345
7	32.5	-1.321
7	32.5	-1.177
7	32.5	-1.948
7	32.5	-1.777
7	32.5	-1.079
7	32.5	-1.099
7	32.5	-1.528
7	32.5	-1.658
7	32.5	-1.038
7	32.5	-0.652
7	32.6	-0.664
7	32.6	-0.654
7	32.6	-0.798
7	32.6	-1.013
7	32.6	-0.581
7	32.6	-0.439
7	32.6	-0.588
7	32.6	-1.211
7	32.6	-0.676
7	32.6	-0.503
7	32.7	-0.591
7	32.7	-0.652
7	32.7	-0.62
7	32.7	-0.549
7	32.7	-0.439
7	32.7	-0.488
7	32.7	-0.439
7	32.7	-0.442
7	32.7	-0.444
7	32.7	-0.569
7	32.7	-0.835
7	32.8	-0.83
7	32.8	-0.63
7	32.8	-0.698
7	32.8	-1.335
7	32.8	-1.404
7	32.8	-0.974
7	32.8	-0.952
7	32.8	-1.016
7	32.8	-1.106
7	32.8	-1.594
7	32.8	-0.969
7	32.9	-0.637
7	32.9	-1.279
7	32.9	-1.536
7	32.9	-1.462
7	32.9	-1.172
7	32.9	-1.121
7	32.9	-2.004
7	32.9	-2.036
7	32.9	-1.736
7	32.9	-1.44
7	32.9	-1.409
7	33	-1.27
7	33	-1.88
7	33	-2.402
7	33	-1.914
7	33	-1.445
7	33	-1.775
7	33	-2.576
7	33	-2.605
7	33	-1.946
7	33	-2.036
7	33	-3.203
7	33.1	-3.162
7	33.1	-3.167
7	33.1	-2.588
7	33.1	-3.428
7	33.1	-3.857
7	33.1	-3.679
7	33.1	-3.042
7	33.1	-3.428
7	33.1	-3.428
7	33.1	-3.865
7	33.2	-4.16
7	33.2	-3.85
7	33.2	-3.735
7	33.2	-3.948
7	33.2	-4.272
